1,1,1,1,1,1,1,1,1,1,3,1,3,93,1,8,20,98,2,4576,893,1701,1472,29232,18700,9074,19723,6838,102277,61879
1,1,1,1,1,1,1,1,5,1,5,29,2,131,7,46,22,26,211,177,1011,2011,6301,1468,50816,171,2178,50802,1400,5844
1,1,1,3,1,1,4,1,1,1,1,1,39,22,57,503,29,500,9,13,3900,14,16947,97222,1380,4456,6207,21134,182041,32417
1,1,1,1,1,1,6,1,1,11,1,1,20,2,199,104,54,148,2540,1,1795,3261,1652,3504,9627,10428,72382,18984,2634,946792
1,1,1,1,1,1,1,2,1,3,1,9,13,3,7,272,55,160,113,628,906,654,1527,1092,52,49240,4536,16619,47661,643038
1,1,1,1,1,1,1,2,1,1,1,3,41,3,76,76,29,41,560,699,2271,316,10698,15496,3494,94305,23283,1551,112614,23369
1,1,1,1,1,1,1,2,1,1,9,5,22,79,138,38,390,113,23,124,1400,105,41881,128,7215,384,98838,109332,303998,96106
1,1,1,1,1,1,1,1,11,1,4,3,146,16,2,663,345,193,87,280,177,1831,5675,6180,7449,130614,2548,12523,35598,74359
1,1,1,1,1,8,1,12,2,1,30,1,2,7,15,26,2,12,506,3139,161,21716,51064,18062,4322,15058,5327,112233,60630,40853
1,1,1,1,2,1,4,1,2,1,2,2,138,7,76,1669,58,953,28,640,6082,342,4183,4842,716,20549,6246,107799,21949,53443
1,1,1,1,1,2,1,1,9,1,3,128,1,4,16,534,249,785,32,139,1592,5973,3060,177,1,3936,4999,40484,11224,15493
1,1,1,1,1,1,3,1,7,1,17,4,3,60,26,43,614,1257,1872,227,1278,3153,687,684,75159,388,13251,44691,72183,146509
1,1,1,1,2,1,1,11,1,1,6,6,2,35,5,66,330,614,450,168,27,434,97,4406,475,1722,62108,160817,21856,85901
1,1,1,1,1,1,1,5,1,1,1,71,13,1,17,31,21,11,146,2397,1899,3076,102,2234,16272,29108,63053,3092,7818,876147
1,1,1,1,1,1,1,2,4,1,5,87,36,21,7,36,221,2,134,908,171,737,859,430,65003,3890,68183,141629,1088,18059
1,1,1,1,1,1,2,1,2,1,18,10,2,56,96,443,54,21,2,1851,7585,670,962,6373,56101,16203,4581,3169,3251,197291
1,1,1,1,1,1,1,3,1,3,4,9,14,56,7,77,131,993,5,401,462,539,589,276,34098,25402,7199,101796,10170,215452
